block,party,vote_count,vote_share,seats_won
hokkaido,ldp,15,0.3947,4
hokkaido,chudo,13,0.3421,3
hokkaido,ishin,4,0.1053,1
hokkaido,sansei,2,0.0526,0
hokkaido,reiwa,2,0.0526,0
hokkaido,jcp,1,0.0263,0
hokkaido,dpfp,1,0.0263,0
tohoku,ldp,19,0.4872,7
tohoku,chudo,7,0.1795,2
tohoku,dpfp,6,0.1538,2
tohoku,ishin,3,0.0769,1
tohoku,reiwa,2,0.0513,0
tohoku,sansei,1,0.0256,0
tohoku,jcp,1,0.0256,0
tokyo,chudo,20,0.339,7
tokyo,ldp,15,0.2542,5
tokyo,ishin,11,0.1864,4
tokyo,sansei,5,0.0847,1
tokyo,reiwa,3,0.0508,1
tokyo,jcp,3,0.0508,1
tokyo,dpfp,2,0.0339,0
minamikanto,ldp,19,0.38,9
minamikanto,chudo,18,0.36,8
minamikanto,ishin,13,0.26,6
tokai,ldp,21,0.3684,9
tokai,chudo,21,0.3684,8
tokai,ishin,5,0.0877,2
tokai,genzei,4,0.0702,1
tokai,sansei,3,0.0526,1
tokai,dpfp,2,0.0351,0
tokai,reiwa,1,0.0175,0
kinki,ldp,39,0.3482,10
kinki,ishin,33,0.2946,9
kinki,chudo,18,0.1607,4
kinki,reiwa,8,0.0714,2
kinki,jcp,5,0.0446,1
kinki,sansei,5,0.0446,1
kinki,dpfp,4,0.0357,1
chugoku,ldp,23,0.4423,5
chugoku,chudo,16,0.3077,4
chugoku,jcp,5,0.0962,1
chugoku,sansei,4,0.0769,0
chugoku,ishin,2,0.0385,0
chugoku,reiwa,1,0.0192,0
chugoku,dpfp,1,0.0192,0
kyushu,ldp,35,0.3182,7
kyushu,ishin,33,0.3,7
kyushu,chudo,14,0.1273,3
kyushu,jcp,14,0.1273,2
kyushu,reiwa,9,0.0818,1
kyushu,sansei,4,0.0364,0
kyushu,立憲民主党,1,0.0091,0
