district_id,district_name,total_personas,turnout_count,turnout_rate,winner,winner_party,winner_votes,runner_up,runner_up_party,runner_up_votes,margin,method
01_1,北海道1区,100,39,0.39,道下大樹,chudo,15,加藤貴弘,ldp,8,7,rule_based
01_2,北海道2区,100,41,0.41,松木謙公,chudo,11,山崎泉,ishin,10,1,rule_based
01_6,北海道6区,100,48,0.48,東国幹,ldp,23,西川将人,chudo,20,3,rule_based
01_7,北海道7区,100,54,0.54,鈴木貴子,ldp,39,篠田奈保子,chudo,15,24,rule_based
01_8,北海道8区,100,53,0.53,向山淳,ldp,28,逢坂誠二,chudo,25,3,rule_based
01_9,北海道9区,100,53,0.53,山岡達丸,chudo,24,松下英樹,ldp,18,6,rule_based
01_12,北海道12区,100,48,0.48,武部新,ldp,26,川原田英世,chudo,22,4,rule_based
02_1,青森県1区,100,49,0.49,津島淳,ldp,30,升田世喜男,chudo,14,16,rule_based
02_2,青森県2区,100,50,0.5,神田潤一,ldp,40,松尾和彦,chudo,5,35,rule_based
02_3,青森県3区,100,60,0.6,木村次郎,ldp,31,岡田華子,chudo,17,14,rule_based
03_1,岩手県1区,100,58,0.58,階猛,chudo,25,米内紘正,ldp,20,5,rule_based
03_2,岩手県2区,100,57,0.57,鈴木俊一,ldp,50,佐々木真琴,dpfp,7,43,rule_based
04_2,宮城県2区,100,53,0.53,渡辺勝幸,ldp,16,鎌田さゆり,chudo,15,1,rule_based
04_4,宮城県4区,100,63,0.63,森下千里,ldp,37,安住淳,chudo,24,13,rule_based
04_5,宮城県5区,100,54,0.54,小野寺五典,ldp,41,境恒春,chudo,8,33,rule_based
05_1,秋田県1区,100,51,0.51,冨樫博之,ldp,30,鈴木知,jcp,8,22,rule_based
05_2,秋田県2区,100,57,0.57,福原淳嗣,ldp,35,緑川貴士,chudo,22,13,rule_based
05_3,秋田県3区,100,58,0.58,御法川信英,ldp,47,村岡敏英,dpfp,11,36,rule_based
06_1,山形県1区,100,56,0.56,原田和広,chudo,30,遠藤寛明,ldp,21,9,rule_based
06_2,山形県2区,100,59,0.59,鈴木憲和,ldp,45,岩本康嗣,jcp,7,38,rule_based
06_3,山形県3区,100,49,0.49,加藤鮎子,ldp,37,落合拓磨,chudo,6,31,rule_based
07_1,福島県1区,100,55,0.55,金子恵美,chudo,31,西山尚利,ldp,22,9,rule_based
07_2,福島県2区,100,56,0.56,玄葉光一郎,chudo,23,根本拓,ldp,21,2,rule_based
07_4,福島県4区,100,62,0.62,坂本竜太郎,ldp,41,斎藤裕喜,chudo,10,31,rule_based
08_1,茨城県1区,100,64,0.64,田所嘉徳,ldp,39,福島伸享,independent,15,24,rule_based
08_2,茨城県2区,100,56,0.56,額賀福志郎,ldp,40,宮内匠,sansei,6,34,rule_based
08_3,茨城県3区,100,62,0.62,葉梨康弘,ldp,41,梶岡博樹,chudo,12,29,rule_based
08_4,茨城県4区,100,59,0.59,梶山弘志,ldp,53,吉田翔,jcp,6,47,rule_based
08_6,茨城県6区,100,43,0.43,国光文乃,ldp,27,青山大人,independent,8,19,rule_based
08_7,茨城県7区,100,64,0.64,永岡桂子,ldp,49,中村勇太,independent,15,34,rule_based
09_1,栃木県1区,100,61,0.61,船田元,ldp,35,柏倉祐司,ishin,10,25,rule_based
09_2,栃木県2区,100,49,0.49,五十嵐清,ldp,27,福田昭夫,chudo,14,13,rule_based
09_3,栃木県3区,100,65,0.65,簗和生,ldp,50,伊賀央,chudo,12,38,rule_based
09_5,栃木県5区,100,65,0.65,茂木敏充,ldp,38,宮本陽介,sansei,12,26,rule_based
10_1,群馬県1区,100,62,0.62,中曽根康隆,ldp,46,河村正剛,chudo,10,36,rule_based
10_2,群馬県2区,100,68,0.68,井野俊郎,ldp,32,石関貴史,independent,12,20,rule_based
10_3,群馬県3区,100,62,0.62,笹川博義,ldp,42,長谷川嘉一,chudo,20,22,rule_based
10_4,群馬県4区,100,55,0.55,福田達夫,ldp,40,山田博規,chudo,10,30,rule_based
