block,party,vote_count,vote_share,seats_won
hokkaido,ldp,34,0.4304,4
hokkaido,chudo,29,0.3671,4
hokkaido,dpfp,6,0.0759,0
hokkaido,sansei,5,0.0633,0
hokkaido,reiwa,2,0.0253,0
hokkaido,ishin,2,0.0253,0
hokkaido,jcp,1,0.0127,0
tohoku,ldp,27,0.3506,5
tohoku,chudo,15,0.1948,3
tohoku,ishin,8,0.1039,1
tohoku,dpfp,8,0.1039,1
tohoku,sansei,8,0.1039,1
tohoku,jcp,7,0.0909,1
tohoku,reiwa,3,0.039,0
tohoku,立憲民主党,1,0.013,0
tokyo,chudo,29,0.3766,8
tokyo,ldp,17,0.2208,4
tokyo,ishin,15,0.1948,4
tokyo,jcp,11,0.1429,3
tokyo,sansei,3,0.039,0
tokyo,reiwa,2,0.026,0
minamikanto,chudo,30,0.3704,10
minamikanto,ishin,18,0.2222,5
minamikanto,ldp,16,0.1975,5
minamikanto,dpfp,8,0.0988,2
minamikanto,jcp,4,0.0494,1
minamikanto,reiwa,3,0.037,0
minamikanto,共産党,2,0.0247,0
tokai,chudo,24,0.3429,8
tokai,ldp,18,0.2571,6
tokai,genzei,10,0.1429,3
tokai,reiwa,6,0.0857,2
tokai,dpfp,5,0.0714,1
tokai,jcp,4,0.0571,1
tokai,sansei,2,0.0286,0
tokai,ishin,1,0.0143,0
kinki,ishin,45,0.3082,9
kinki,ldp,36,0.2466,8
kinki,chudo,29,0.1986,6
kinki,jcp,17,0.1164,3
kinki,dpfp,13,0.089,2
kinki,reiwa,3,0.0205,0
kinki,sansei,2,0.0137,0
kinki,mirai,1,0.0068,0
chugoku,ldp,39,0.5132,6
chugoku,chudo,20,0.2632,3
chugoku,ishin,6,0.0789,1
chugoku,sansei,5,0.0658,0
chugoku,jcp,4,0.0526,0
chugoku,reiwa,1,0.0132,0
chugoku,dpfp,1,0.0132,0
kyushu,ldp,53,0.3557,7
kyushu,chudo,34,0.2282,5
kyushu,ishin,23,0.1544,3
kyushu,jcp,21,0.1409,3
kyushu,reiwa,9,0.0604,1
kyushu,sansei,7,0.047,1
kyushu,dpfp,2,0.0134,0
