block,party,vote_count,vote_share,seats_won
hokkaido,ldp,176,0.3902,4
hokkaido,chudo,152,0.337,4
hokkaido,ishin,30,0.0665,0
hokkaido,jcp,30,0.0665,0
hokkaido,dpfp,28,0.0621,0
hokkaido,sansei,15,0.0333,0
hokkaido,reiwa,12,0.0266,0
hokkaido,立憲民主党,7,0.0155,0
hokkaido,社会民主党,1,0.0022,0
tohoku,ldp,461,0.4601,6
tohoku,chudo,200,0.1996,3
tohoku,dpfp,116,0.1158,1
tohoku,jcp,67,0.0669,1
tohoku,ishin,66,0.0659,1
tohoku,reiwa,45,0.0449,0
tohoku,sansei,39,0.0389,0
tohoku,立憲民主党,6,0.006,0
tohoku,共産党,2,0.002,0
kitakanto,ldp,790,0.4386,10
kitakanto,chudo,265,0.1471,3
kitakanto,ishin,215,0.1194,2
kitakanto,dpfp,209,0.116,2
kitakanto,jcp,119,0.0661,1
kitakanto,reiwa,81,0.045,1
kitakanto,sansei,68,0.0378,0
kitakanto,立憲民主党,16,0.0089,0
kitakanto,共産党,15,0.0083,0
kitakanto,自由民主党,15,0.0083,0
kitakanto,維新,3,0.0017,0
kitakanto,komei,2,0.0011,0
kitakanto,hoshuto,2,0.0011,0
kitakanto,shoha,1,0.0006,0
minamikanto,ldp,675,0.3824,10
minamikanto,chudo,365,0.2068,5
minamikanto,ishin,237,0.1343,3
minamikanto,dpfp,137,0.0776,2
minamikanto,jcp,133,0.0754,2
minamikanto,reiwa,107,0.0606,1
minamikanto,sansei,64,0.0363,0
minamikanto,立憲民主党,11,0.0062,0
minamikanto,自由民主党,10,0.0057,0
minamikanto,共産党,8,0.0045,0
minamikanto,genzei,8,0.0045,0
minamikanto,shamin,5,0.0028,0
minamikanto,mirai,3,0.0017,0
minamikanto,維新の会,1,0.0006,0
minamikanto,社会民主党,1,0.0006,0
tokyo,ldp,373,0.3083,7
tokyo,chudo,253,0.2091,4
tokyo,ishin,186,0.1537,3
tokyo,dpfp,176,0.1455,3
tokyo,jcp,84,0.0694,1
tokyo,reiwa,62,0.0512,1
tokyo,sansei,52,0.043,0
tokyo,genzei,7,0.0058,0
tokyo,立憲民主党,6,0.005,0
tokyo,共産党,5,0.0041,0
tokyo,自由民主党,4,0.0033,0
tokyo,mirai,2,0.0017,0
hokurikushinetsu,ldp,371,0.4314,5
hokurikushinetsu,chudo,197,0.2291,3
hokurikushinetsu,ishin,86,0.1,1
hokurikushinetsu,dpfp,74,0.086,1
hokurikushinetsu,jcp,55,0.064,0
hokurikushinetsu,reiwa,37,0.043,0
hokurikushinetsu,sansei,31,0.036,0
hokurikushinetsu,立憲民主党,4,0.0047,0
hokurikushinetsu,共産党,3,0.0035,0
hokurikushinetsu,自由民主党,2,0.0023,0
tokai,ldp,702,0.3942,10
tokai,chudo,332,0.1864,4
tokai,dpfp,207,0.1162,3
tokai,ishin,205,0.1151,2
tokai,jcp,113,0.0634,1
tokai,reiwa,89,0.05,1
tokai,sansei,63,0.0354,0
tokai,genzei,30,0.0168,0
tokai,立憲民主党,26,0.0146,0
tokai,自由民主党,8,0.0045,0
tokai,共産党,2,0.0011,0
tokai,shamin,2,0.0011,0
tokai,hoshuto,2,0.0011,0
kinki,ishin,755,0.3112,10
kinki,ldp,746,0.3075,9
kinki,chudo,297,0.1224,3
kinki,jcp,242,0.0998,3
kinki,dpfp,146,0.0602,1
kinki,reiwa,113,0.0466,1
kinki,sansei,86,0.0354,1
kinki,自由民主党,28,0.0115,0
kinki,立憲民主党,10,0.0041,0
kinki,shoha,2,0.0008,0
kinki,shamin,1,0.0004,0
chugoku,ldp,441,0.457,6
chugoku,chudo,176,0.1824,2
chugoku,ishin,121,0.1254,1
chugoku,dpfp,82,0.085,1
chugoku,jcp,64,0.0663,0
chugoku,reiwa,40,0.0415,0
chugoku,sansei,35,0.0363,0
chugoku,立憲民主党,6,0.0062,0
shikoku,ldp,269,0.4583,3
shikoku,dpfp,82,0.1397,1
shikoku,chudo,71,0.121,1
shikoku,ishin,69,0.1175,1
shikoku,jcp,33,0.0562,0
shikoku,reiwa,26,0.0443,0
shikoku,sansei,24,0.0409,0
shikoku,立憲民主党,7,0.0119,0
shikoku,自由民主党,5,0.0085,0
shikoku,社会民主党,1,0.0017,0
kyushu,ldp,803,0.4338,9
kyushu,ishin,250,0.1351,3
kyushu,chudo,248,0.134,3
kyushu,dpfp,171,0.0924,2
kyushu,jcp,113,0.061,1
kyushu,reiwa,100,0.054,1
kyushu,sansei,88,0.0475,1
kyushu,shamin,26,0.014,0
kyushu,立憲民主党,25,0.0135,0
kyushu,自由民主党,11,0.0059,0
kyushu,genzei,8,0.0043,0
kyushu,共産党,7,0.0038,0
kyushu,hoshuto,1,0.0005,0
