block,party,vote_count,vote_share,seats_won
hokkaido,ldp,249,0.4376,4
hokkaido,chudo,231,0.406,4
hokkaido,jcp,36,0.0633,0
hokkaido,sansei,20,0.0351,0
hokkaido,dpfp,14,0.0246,0
hokkaido,ishin,7,0.0123,0
hokkaido,mirai,6,0.0105,0
hokkaido,reiwa,4,0.007,0
hokkaido,shamin,2,0.0035,0
tohoku,ldp,598,0.5378,8
tohoku,chudo,288,0.259,3
tohoku,dpfp,73,0.0656,1
tohoku,jcp,42,0.0378,0
tohoku,sansei,37,0.0333,0
tohoku,reiwa,25,0.0225,0
tohoku,independent,23,0.0207,0
tohoku,ishin,18,0.0162,0
tohoku,mirai,5,0.0045,0
tohoku,shamin,3,0.0027,0
kitakanto,ldp,1021,0.5543,12
kitakanto,chudo,343,0.1862,4
kitakanto,dpfp,122,0.0662,1
kitakanto,sansei,95,0.0516,1
kitakanto,jcp,80,0.0434,1
kitakanto,ishin,62,0.0337,0
kitakanto,independent,58,0.0315,0
kitakanto,reiwa,31,0.0168,0
kitakanto,mirai,16,0.0087,0
kitakanto,shoha,7,0.0038,0
kitakanto,shamin,3,0.0016,0
kitakanto,hoshuto,2,0.0011,0
kitakanto,genzei,2,0.0011,0
minamikanto,ldp,687,0.399,11
minamikanto,chudo,461,0.2677,7
minamikanto,jcp,172,0.0999,2
minamikanto,sansei,113,0.0656,1
minamikanto,dpfp,101,0.0587,1
minamikanto,ishin,75,0.0436,1
minamikanto,reiwa,34,0.0197,0
minamikanto,mirai,27,0.0157,0
minamikanto,independent,20,0.0116,0
minamikanto,genzei,16,0.0093,0
minamikanto,shamin,16,0.0093,0
tokyo,ldp,406,0.3192,7
tokyo,chudo,242,0.1903,4
tokyo,dpfp,191,0.1502,3
tokyo,sansei,122,0.0959,2
tokyo,ishin,103,0.081,2
tokyo,jcp,77,0.0605,1
tokyo,reiwa,47,0.0369,0
tokyo,shoha,33,0.0259,0
tokyo,mirai,23,0.0181,0
tokyo,independent,15,0.0118,0
tokyo,genzei,11,0.0086,0
tokyo,hoshuto,1,0.0008,0
tokyo,shamin,1,0.0008,0
hokurikushinetsu,ldp,477,0.5021,7
hokurikushinetsu,chudo,225,0.2368,3
hokurikushinetsu,jcp,57,0.06,0
hokurikushinetsu,sansei,52,0.0547,0
hokurikushinetsu,ishin,48,0.0505,0
hokurikushinetsu,dpfp,40,0.0421,0
hokurikushinetsu,independent,25,0.0263,0
hokurikushinetsu,reiwa,17,0.0179,0
hokurikushinetsu,mirai,4,0.0042,0
hokurikushinetsu,genzei,3,0.0032,0
hokurikushinetsu,shamin,2,0.0021,0
tokai,ldp,849,0.4629,11
tokai,chudo,439,0.2394,6
tokai,dpfp,191,0.1041,2
tokai,jcp,94,0.0513,1
tokai,sansei,73,0.0398,1
tokai,ishin,53,0.0289,0
tokai,genzei,43,0.0234,0
tokai,reiwa,42,0.0229,0
tokai,independent,21,0.0115,0
tokai,mirai,10,0.0055,0
tokai,hoshuto,10,0.0055,0
tokai,shamin,9,0.0049,0
kinki,ldp,825,0.3278,11
kinki,ishin,688,0.2733,9
kinki,chudo,359,0.1426,4
kinki,jcp,267,0.1061,3
kinki,sansei,97,0.0385,1
kinki,dpfp,75,0.0298,0
kinki,reiwa,70,0.0278,0
kinki,independent,70,0.0278,0
kinki,mirai,37,0.0147,0
kinki,shoha,15,0.006,0
kinki,shamin,11,0.0044,0
kinki,genzei,3,0.0012,0
chugoku,ldp,565,0.5742,7
chugoku,chudo,193,0.1961,2
chugoku,jcp,83,0.0843,1
chugoku,dpfp,42,0.0427,0
chugoku,ishin,34,0.0346,0
chugoku,sansei,33,0.0335,0
chugoku,reiwa,13,0.0132,0
chugoku,independent,11,0.0112,0
chugoku,mirai,6,0.0061,0
chugoku,genzei,3,0.003,0
chugoku,shamin,1,0.001,0
shikoku,ldp,383,0.6138,5
shikoku,chudo,92,0.1474,1
shikoku,dpfp,63,0.101,0
shikoku,jcp,32,0.0513,0
shikoku,sansei,24,0.0385,0
shikoku,ishin,14,0.0224,0
shikoku,mirai,5,0.008,0
shikoku,reiwa,5,0.008,0
shikoku,independent,4,0.0064,0
shikoku,shamin,1,0.0016,0
shikoku,genzei,1,0.0016,0
kyushu,ldp,1076,0.5636,14
kyushu,chudo,286,0.1498,3
kyushu,dpfp,121,0.0634,1
kyushu,sansei,110,0.0576,1
kyushu,jcp,105,0.055,1
kyushu,ishin,68,0.0356,0
kyushu,independent,59,0.0309,0
kyushu,shamin,27,0.0141,0
kyushu,reiwa,25,0.0131,0
kyushu,genzei,19,0.01,0
kyushu,mirai,12,0.0063,0
kyushu,hoshuto,1,0.0005,0
