block,party,vote_count,vote_share,seats_won
hokkaido,ldp,17,0.3864,4
hokkaido,chudo,11,0.25,2
hokkaido,sansei,4,0.0909,1
hokkaido,dpfp,4,0.0909,1
hokkaido,ishin,3,0.0682,0
hokkaido,jcp,2,0.0455,0
hokkaido,立憲民主党,2,0.0455,0
hokkaido,reiwa,1,0.0227,0
tohoku,ldp,20,0.4444,6
tohoku,chudo,7,0.1556,2
tohoku,dpfp,5,0.1111,1
tohoku,ishin,4,0.0889,1
tohoku,jcp,4,0.0889,1
tohoku,reiwa,3,0.0667,1
tohoku,sansei,2,0.0444,0
tokyo,chudo,14,0.2979,7
tokyo,ldp,13,0.2766,6
tokyo,ishin,8,0.1702,3
tokyo,jcp,8,0.1702,3
tokyo,sansei,2,0.0426,0
tokyo,reiwa,2,0.0426,0
minamikanto,chudo,21,0.4667,11
minamikanto,ishin,11,0.2444,6
minamikanto,ldp,4,0.0889,2
minamikanto,reiwa,4,0.0889,2
minamikanto,sansei,2,0.0444,1
minamikanto,jcp,2,0.0444,1
minamikanto,dpfp,1,0.0222,0
tokai,chudo,19,0.413,9
tokai,ldp,14,0.3043,7
tokai,genzei,5,0.1087,2
tokai,ishin,3,0.0652,1
tokai,jcp,2,0.0435,1
tokai,dpfp,2,0.0435,1
tokai,sansei,1,0.0217,0
kinki,ishin,28,0.2917,9
kinki,ldp,28,0.2917,9
kinki,jcp,11,0.1146,3
kinki,dpfp,10,0.1042,3
kinki,chudo,10,0.1042,3
kinki,reiwa,6,0.0625,1
kinki,sansei,3,0.0312,0
chugoku,ldp,34,0.5862,7
chugoku,chudo,13,0.2241,2
chugoku,ishin,5,0.0862,1
chugoku,jcp,3,0.0517,0
chugoku,sansei,1,0.0172,0
chugoku,reiwa,1,0.0172,0
chugoku,dpfp,1,0.0172,0
kyushu,ldp,36,0.313,7
kyushu,ishin,27,0.2348,5
kyushu,jcp,18,0.1565,3
kyushu,chudo,17,0.1478,3
kyushu,sansei,9,0.0783,1
kyushu,reiwa,7,0.0609,1
kyushu,dpfp,1,0.0087,0
