block,party,vote_count,vote_share,seats_won
hokkaido,ldp,172,0.3583,4
hokkaido,chudo,136,0.2833,3
hokkaido,dpfp,49,0.1021,1
hokkaido,jcp,31,0.0646,0
hokkaido,ishin,31,0.0646,0
hokkaido,sansei,27,0.0563,0
hokkaido,reiwa,22,0.0458,0
hokkaido,立憲民主党,11,0.0229,0
hokkaido,維新,1,0.0021,0
tohoku,ldp,444,0.4265,7
tohoku,chudo,230,0.2209,3
tohoku,dpfp,126,0.121,2
tohoku,sansei,62,0.0596,0
tohoku,ishin,58,0.0557,0
tohoku,jcp,45,0.0432,0
tohoku,reiwa,37,0.0355,0
tohoku,立憲民主党,22,0.0211,0
tohoku,共産党,11,0.0106,0
tohoku,komei,5,0.0048,0
tohoku,維新の会,1,0.001,0
kitakanto,ldp,793,0.4331,9
kitakanto,chudo,271,0.148,3
kitakanto,dpfp,247,0.1349,3
kitakanto,ishin,174,0.095,2
kitakanto,sansei,126,0.0688,1
kitakanto,jcp,87,0.0475,1
kitakanto,reiwa,78,0.0426,0
kitakanto,立憲民主党,33,0.018,0
kitakanto,共産党,13,0.0071,0
kitakanto,komei,4,0.0022,0
kitakanto,維新の会,2,0.0011,0
kitakanto,維新,2,0.0011,0
kitakanto,independent,1,0.0005,0
minamikanto,ldp,690,0.3874,10
minamikanto,chudo,430,0.2414,6
minamikanto,ishin,196,0.1101,2
minamikanto,dpfp,138,0.0775,2
minamikanto,sansei,113,0.0634,1
minamikanto,jcp,92,0.0517,1
minamikanto,reiwa,76,0.0427,1
minamikanto,立憲民主党,10,0.0056,0
minamikanto,genzei,9,0.0051,0
minamikanto,共産党,8,0.0045,0
minamikanto,自由民主党,7,0.0039,0
minamikanto,komei,5,0.0028,0
minamikanto,mirai,3,0.0017,0
minamikanto,維新,2,0.0011,0
minamikanto,中道改革連合に一貫して投票。穏健な改革路線と現実的な政策運営を支持する。,1,0.0006,0
minamikanto,shamin,1,0.0006,0
tokyo,ldp,436,0.3073,7
tokyo,chudo,278,0.1959,4
tokyo,dpfp,220,0.155,3
tokyo,ishin,176,0.124,2
tokyo,sansei,111,0.0782,1
tokyo,jcp,110,0.0775,1
tokyo,reiwa,59,0.0416,1
tokyo,立憲民主党,17,0.012,0
tokyo,共産党,6,0.0042,0
tokyo,維新,2,0.0014,0
tokyo,mirai,1,0.0007,0
tokyo,hoshuto,1,0.0007,0
tokyo,genzei,1,0.0007,0
tokyo,komei,1,0.0007,0
hokurikushinetsu,ldp,377,0.4483,6
hokurikushinetsu,chudo,164,0.195,2
hokurikushinetsu,dpfp,90,0.107,1
hokurikushinetsu,sansei,58,0.069,1
hokurikushinetsu,ishin,55,0.0654,0
hokurikushinetsu,jcp,39,0.0464,0
hokurikushinetsu,reiwa,33,0.0392,0
hokurikushinetsu,立憲民主党,10,0.0119,0
hokurikushinetsu,自由民主党,8,0.0095,0
hokurikushinetsu,共産党,3,0.0036,0
hokurikushinetsu,維新の会,2,0.0024,0
hokurikushinetsu,政策の一貫性を重視し、小選挙区と同じく中道改革連合に投票。社会保障と製造業支援の両立を期待。,1,0.0012,0
hokurikushinetsu,komei,1,0.0012,0
tokai,ldp,695,0.3983,10
tokai,chudo,325,0.1862,4
tokai,dpfp,265,0.1519,3
tokai,ishin,150,0.086,2
tokai,sansei,96,0.055,1
tokai,jcp,90,0.0516,1
tokai,reiwa,59,0.0338,0
tokai,genzei,28,0.016,0
tokai,立憲民主党,24,0.0138,0
tokai,komei,5,0.0029,0
tokai,共産党,4,0.0023,0
tokai,hoshuto,3,0.0017,0
tokai,維新,1,0.0006,0
kinki,ishin,795,0.3126,10
kinki,ldp,767,0.3016,9
kinki,chudo,317,0.1247,3
kinki,jcp,201,0.079,2
kinki,dpfp,165,0.0649,2
kinki,sansei,133,0.0523,1
kinki,reiwa,114,0.0448,1
kinki,自由民主党,26,0.0102,0
kinki,立憲民主党,17,0.0067,0
kinki,mirai,3,0.0012,0
kinki,komei,3,0.0012,0
kinki,shamin,2,0.0008,0
chugoku,ldp,402,0.4332,5
chugoku,chudo,164,0.1767,2
chugoku,dpfp,111,0.1196,1
chugoku,ishin,81,0.0873,1
chugoku,jcp,78,0.0841,1
chugoku,reiwa,41,0.0442,0
chugoku,sansei,38,0.0409,0
chugoku,立憲民主党,6,0.0065,0
chugoku,自由民主党,4,0.0043,0
chugoku,komei,2,0.0022,0
chugoku,共産党,1,0.0011,0
shikoku,ldp,264,0.4528,4
shikoku,dpfp,106,0.1818,1
shikoku,chudo,64,0.1098,1
shikoku,ishin,45,0.0772,0
shikoku,sansei,35,0.06,0
shikoku,jcp,34,0.0583,0
shikoku,reiwa,26,0.0446,0
shikoku,立憲民主党,4,0.0069,0
shikoku,維新の会,3,0.0051,0
shikoku,komei,2,0.0034,0
kyushu,ldp,761,0.4202,10
kyushu,dpfp,248,0.1369,3
kyushu,chudo,186,0.1027,2
kyushu,ishin,169,0.0933,2
kyushu,sansei,150,0.0828,1
kyushu,jcp,122,0.0674,1
kyushu,reiwa,80,0.0442,1
kyushu,立憲民主党,25,0.0138,0
kyushu,shamin,18,0.0099,0
kyushu,genzei,14,0.0077,0
kyushu,維新,11,0.0061,0
kyushu,自由民主党,8,0.0044,0
kyushu,komei,7,0.0039,0
kyushu,共産党,7,0.0039,0
kyushu,hoshuto,3,0.0017,0
kyushu,維新の会,2,0.0011,0
