prefecture_code,district_number,candidate_name,age,party_id,status,previous_wins,dual_candidacy
01,1,道下大樹,50,chudo,incumbent,3,true
01,1,臼木秀剛,44,dpfp,incumbent,1,true
01,1,森英士,48,jcp,new,0,false
01,1,加藤貴弘,43,ldp,new,0,true
01,1,加納千津子,50,sansei,new,0,false
01,2,平岡大介,37,jcp,new,0,false
01,2,高橋祐介,45,ldp,former,1,true
01,2,松木謙公,66,chudo,incumbent,7,true
01,2,中田綾子,49,sansei,new,0,true
01,2,山崎泉,52,ishin,new,0,true
01,3,高木宏寿,65,ldp,former,3,true
01,3,中島良樹,47,sansei,new,0,true
01,3,円子裕子,62,jcp,new,0,false
01,3,荒井優,50,chudo,incumbent,2,true
01,4,佐々木明美,65,jcp,new,0,false
01,4,中村裕之,64,ldp,incumbent,5,true
01,4,大築紅葉,42,chudo,incumbent,2,true
01,4,高橋翔太,37,sansei,new,0,false
01,5,和田義明,54,ldp,former,3,true
01,5,池田真紀,53,chudo,incumbent,2,true
01,6,荻生和敏,76,jcp,new,0,false
01,6,西川将人,57,chudo,incumbent,1,true
01,6,東国幹,57,ldp,incumbent,2,true
01,7,篠田奈保子,54,chudo,incumbent,1,true
01,7,鈴木貴子,40,ldp,incumbent,5,true
01,8,逢坂誠二,66,chudo,incumbent,6,true
01,8,向山淳,42,ldp,incumbent,1,true
01,9,立野広志,68,jcp,new,0,false
01,9,松下英樹,35,ldp,new,0,true
01,9,山岡達丸,46,chudo,incumbent,4,true
01,9,菅野望帆,36,sansei,new,0,false
01,10,渡辺孝一,68,ldp,former,4,true
01,10,神谷裕,57,chudo,incumbent,3,true
01,11,宇都隆史,51,sansei,new,0,false
01,11,石川香織,41,chudo,incumbent,3,true
01,11,中川紘一,35,ldp,new,0,true
01,12,武部新,55,ldp,incumbent,5,true
01,12,川原田英世,43,chudo,incumbent,1,true
02,1,升田世喜男,68,chudo,incumbent,2,true
02,1,斎藤美緒,46,jcp,new,0,false
02,1,加藤勉,65,sansei,new,0,false
02,1,津島淳,59,ldp,incumbent,5,true
02,2,神田潤一,55,ldp,incumbent,2,true
02,2,金浜亨,37,dpfp,new,0,true
02,2,久保将,71,jcp,new,0,false
02,2,松尾和彦,62,chudo,new,0,true
02,3,岡田華子,45,chudo,incumbent,1,true
02,3,木村次郎,58,ldp,former,2,true
02,3,佐原若子,72,reiwa,incumbent,1,true
03,1,階猛,59,chudo,incumbent,7,true
03,1,米内紘正,38,ldp,new,0,true
03,1,吉田恭子,45,jcp,new,0,true
03,1,佐々木大成,47,sansei,new,0,false
03,1,小笠原勇治,62,independent,new,0,false
03,2,佐々木真琴,29,dpfp,new,0,true
03,2,鈴木俊一,72,ldp,incumbent,11,true
03,3,小沢一郎,83,chudo,incumbent,19,true
03,3,藤原崇,42,ldp,former,4,true
03,3,及川泰輔,47,sansei,new,0,false
04,1,ローレンス綾子,55,sansei,new,0,true
04,1,中嶋廉,73,jcp,new,0,false
04,1,高橋浩司,62,ishin,new,0,true
