block,party,vote_count,vote_share,seats_won
hokkaido,ldp,307,0.4475,4
hokkaido,chudo,272,0.3965,4
hokkaido,jcp,31,0.0452,0
hokkaido,sansei,26,0.0379,0
hokkaido,dpfp,23,0.0335,0
hokkaido,ishin,13,0.019,0
hokkaido,reiwa,9,0.0131,0
hokkaido,mirai,4,0.0058,0
hokkaido,genzei,1,0.0015,0
tohoku,ldp,672,0.5321,8
tohoku,chudo,332,0.2629,4
tohoku,dpfp,73,0.0578,0
tohoku,sansei,42,0.0333,0
tohoku,jcp,40,0.0317,0
tohoku,independent,34,0.0269,0
tohoku,ishin,28,0.0222,0
tohoku,reiwa,27,0.0214,0
tohoku,mirai,9,0.0071,0
tohoku,shamin,4,0.0032,0
tohoku,genzei,2,0.0016,0
kitakanto,ldp,1137,0.5425,12
kitakanto,chudo,390,0.1861,4
kitakanto,dpfp,144,0.0687,1
kitakanto,sansei,109,0.052,1
kitakanto,independent,91,0.0434,1
kitakanto,jcp,83,0.0396,0
kitakanto,ishin,64,0.0305,0
kitakanto,reiwa,48,0.0229,0
kitakanto,shoha,11,0.0052,0
kitakanto,mirai,10,0.0048,0
kitakanto,hoshuto,4,0.0019,0
kitakanto,shamin,3,0.0014,0
kitakanto,genzei,2,0.001,0
minamikanto,ldp,849,0.4201,11
minamikanto,chudo,539,0.2667,7
minamikanto,jcp,176,0.0871,2
minamikanto,sansei,138,0.0683,1
minamikanto,dpfp,111,0.0549,1
minamikanto,ishin,90,0.0445,1
minamikanto,reiwa,35,0.0173,0
minamikanto,mirai,30,0.0148,0
minamikanto,genzei,21,0.0104,0
minamikanto,independent,19,0.0094,0
minamikanto,shamin,13,0.0064,0
tokyo,ldp,495,0.3309,7
tokyo,chudo,277,0.1852,4
tokyo,dpfp,249,0.1664,4
tokyo,sansei,133,0.0889,2
tokyo,ishin,116,0.0775,1
tokyo,jcp,85,0.0568,1
tokyo,reiwa,49,0.0328,0
tokyo,mirai,30,0.0201,0
tokyo,shoha,26,0.0174,0
tokyo,independent,19,0.0127,0
tokyo,genzei,10,0.0067,0
tokyo,hoshuto,4,0.0027,0
tokyo,shamin,3,0.002,0
hokurikushinetsu,ldp,555,0.5068,7
hokurikushinetsu,chudo,241,0.2201,3
hokurikushinetsu,jcp,70,0.0639,0
hokurikushinetsu,dpfp,64,0.0584,0
hokurikushinetsu,ishin,61,0.0557,0
hokurikushinetsu,sansei,54,0.0493,0
hokurikushinetsu,independent,25,0.0228,0
hokurikushinetsu,reiwa,15,0.0137,0
hokurikushinetsu,mirai,9,0.0082,0
hokurikushinetsu,shamin,1,0.0009,0
tokai,ldp,981,0.4674,12
tokai,chudo,527,0.2511,6
tokai,dpfp,185,0.0881,2
tokai,jcp,99,0.0472,1
tokai,sansei,78,0.0372,0
tokai,reiwa,65,0.031,0
tokai,genzei,62,0.0295,0
tokai,ishin,53,0.0253,0
tokai,independent,23,0.011,0
tokai,mirai,11,0.0052,0
tokai,hoshuto,9,0.0043,0
tokai,shamin,6,0.0029,0
kinki,ldp,931,0.3305,10
kinki,ishin,728,0.2584,8
kinki,chudo,351,0.1246,4
kinki,jcp,327,0.1161,3
kinki,sansei,128,0.0454,1
kinki,dpfp,99,0.0351,1
kinki,reiwa,95,0.0337,1
kinki,independent,81,0.0288,0
kinki,mirai,40,0.0142,0
kinki,shoha,22,0.0078,0
kinki,shamin,11,0.0039,0
kinki,genzei,4,0.0014,0
chugoku,ldp,644,0.575,7
chugoku,chudo,229,0.2045,2
chugoku,jcp,86,0.0768,1
chugoku,dpfp,56,0.05,0
chugoku,sansei,35,0.0312,0
chugoku,ishin,35,0.0312,0
chugoku,reiwa,16,0.0143,0
chugoku,independent,9,0.008,0
chugoku,mirai,7,0.0063,0
chugoku,shamin,3,0.0027,0
shikoku,ldp,452,0.6647,5
shikoku,chudo,82,0.1206,1
shikoku,dpfp,55,0.0809,0
shikoku,jcp,28,0.0412,0
shikoku,sansei,27,0.0397,0
shikoku,ishin,22,0.0324,0
shikoku,reiwa,7,0.0103,0
shikoku,independent,4,0.0059,0
shikoku,mirai,2,0.0029,0
shikoku,shamin,1,0.0015,0
kyushu,ldp,1251,0.5712,14
kyushu,chudo,356,0.1626,3
kyushu,dpfp,121,0.0553,1
kyushu,sansei,115,0.0525,1
kyushu,jcp,100,0.0457,1
kyushu,ishin,72,0.0329,0
kyushu,independent,68,0.0311,0
kyushu,reiwa,43,0.0196,0
kyushu,shamin,32,0.0146,0
kyushu,mirai,18,0.0082,0
kyushu,genzei,12,0.0055,0
kyushu,hoshuto,2,0.0009,0
