block,party,vote_count,vote_share,seats_won
hokkaido,ldp,11,0.3793,4
hokkaido,chudo,8,0.2759,3
hokkaido,共産党,5,0.1724,1
hokkaido,dpfp,2,0.069,0
hokkaido,sansei,2,0.069,0
hokkaido,ishin,1,0.0345,0
tohoku,ldp,25,0.5814,8
tohoku,chudo,7,0.1628,2
tohoku,dpfp,6,0.1395,2
tohoku,jcp,2,0.0465,0
tohoku,sansei,2,0.0465,0
tohoku,ishin,1,0.0233,0
tokyo,chudo,16,0.3478,8
tokyo,ldp,9,0.1957,4
tokyo,ishin,7,0.1522,3
tokyo,sansei,6,0.1304,2
tokyo,jcp,6,0.1304,2
tokyo,reiwa,2,0.0435,0
minamikanto,chudo,21,0.42,10
minamikanto,ldp,12,0.24,6
minamikanto,ishin,9,0.18,4
minamikanto,共産党,4,0.08,2
minamikanto,reiwa,3,0.06,1
minamikanto,dpfp,1,0.02,0
tokai,ldp,17,0.3148,8
tokai,dpfp,14,0.2593,7
tokai,chudo,8,0.1481,3
tokai,維新,4,0.0741,1
tokai,reiwa,3,0.0556,1
tokai,共産党,3,0.0556,1
tokai,sansei,2,0.037,0
tokai,支持なし,1,0.0185,0
tokai,維新の会,1,0.0185,0
tokai,ishin,1,0.0185,0
kinki,ishin,41,0.3694,11
kinki,ldp,26,0.2342,7
kinki,chudo,15,0.1351,4
kinki,jcp,12,0.1081,3
kinki,dpfp,11,0.0991,3
kinki,reiwa,3,0.027,0
kinki,sansei,3,0.027,0
chugoku,ldp,24,0.4286,5
chugoku,chudo,14,0.25,3
chugoku,jcp,7,0.125,1
chugoku,dpfp,5,0.0893,1
chugoku,ishin,3,0.0536,0
chugoku,reiwa,2,0.0357,0
chugoku,sansei,1,0.0179,0
kyushu,ldp,42,0.3818,9
kyushu,jcp,16,0.1455,3
kyushu,reiwa,14,0.1273,3
kyushu,chudo,13,0.1182,2
kyushu,ishin,12,0.1091,2
kyushu,dpfp,7,0.0636,1
kyushu,立憲民主党,4,0.0364,0
kyushu,sansei,1,0.0091,0
kyushu,その他,1,0.0091,0
