block,party,vote_count,vote_share,seats_won
hokkaido,ldp,184,0.368,4
hokkaido,chudo,163,0.326,3
hokkaido,dpfp,41,0.082,1
hokkaido,ishin,32,0.064,0
hokkaido,jcp,32,0.064,0
hokkaido,reiwa,21,0.042,0
hokkaido,sansei,16,0.032,0
hokkaido,共産党,5,0.01,0
hokkaido,自由民主党,4,0.008,0
hokkaido,立憲民主党,2,0.004,0
tohoku,ldp,415,0.4081,6
tohoku,chudo,247,0.2429,3
tohoku,dpfp,103,0.1013,1
tohoku,ishin,73,0.0718,1
tohoku,reiwa,63,0.0619,1
tohoku,jcp,57,0.056,0
tohoku,sansei,30,0.0295,0
tohoku,自由民主党,22,0.0216,0
tohoku,立憲民主党,5,0.0049,0
tohoku,共産党,2,0.002,0
kitakanto,ldp,809,0.4222,9
kitakanto,chudo,334,0.1743,3
kitakanto,dpfp,218,0.1138,2
kitakanto,ishin,204,0.1065,2
kitakanto,jcp,104,0.0543,1
kitakanto,sansei,99,0.0517,1
kitakanto,reiwa,98,0.0511,1
kitakanto,立憲民主党,21,0.011,0
kitakanto,共産党,13,0.0068,0
kitakanto,自由民主党,13,0.0068,0
kitakanto,中道改革連合の社会保障政策が医療・介護重視の自分の価値観と合致。民進党系への従来支持も継続。,1,0.0005,0
kitakanto,維新の会,1,0.0005,0
kitakanto,hoshuto,1,0.0005,0
minamikanto,ldp,780,0.39,10
minamikanto,chudo,489,0.2445,6
minamikanto,ishin,225,0.1125,2
minamikanto,dpfp,164,0.082,2
minamikanto,jcp,123,0.0615,1
minamikanto,reiwa,99,0.0495,1
minamikanto,sansei,81,0.0405,1
minamikanto,共産党,17,0.0085,0
minamikanto,立憲民主党,10,0.005,0
minamikanto,genzei,7,0.0035,0
minamikanto,mirai,3,0.0015,0
minamikanto,shamin,2,0.001,0
tokyo,ldp,533,0.3161,7
tokyo,chudo,349,0.207,4
tokyo,dpfp,229,0.1358,3
tokyo,ishin,226,0.134,2
tokyo,jcp,119,0.0706,1
tokyo,sansei,99,0.0587,1
tokyo,reiwa,87,0.0516,1
tokyo,立憲民主党,18,0.0107,0
tokyo,自由民主党,8,0.0047,0
tokyo,genzei,7,0.0042,0
tokyo,mirai,6,0.0036,0
tokyo,共産党,4,0.0024,0
tokyo,hoshuto,1,0.0006,0
hokurikushinetsu,ldp,376,0.4636,6
hokurikushinetsu,chudo,172,0.2121,2
hokurikushinetsu,dpfp,78,0.0962,1
hokurikushinetsu,ishin,72,0.0888,1
hokurikushinetsu,jcp,44,0.0543,0
hokurikushinetsu,reiwa,32,0.0395,0
hokurikushinetsu,sansei,30,0.037,0
hokurikushinetsu,共産党,4,0.0049,0
hokurikushinetsu,立憲民主党,3,0.0037,0
tokai,ldp,720,0.3892,9
tokai,chudo,366,0.1978,5
tokai,dpfp,270,0.1459,3
tokai,ishin,183,0.0989,2
tokai,jcp,112,0.0605,1
tokai,sansei,76,0.0411,1
tokai,reiwa,69,0.0373,0
tokai,genzei,18,0.0097,0
tokai,立憲民主党,13,0.007,0
tokai,自由民主党,8,0.0043,0
tokai,hoshuto,7,0.0038,0
tokai,共産党,6,0.0032,0
tokai,shamin,2,0.0011,0
kinki,ishin,885,0.3441,10
kinki,ldp,752,0.2924,9
kinki,chudo,325,0.1264,4
kinki,jcp,221,0.0859,2
kinki,dpfp,125,0.0486,1
kinki,reiwa,113,0.0439,1
kinki,sansei,112,0.0435,1
kinki,自由民主党,24,0.0093,0
kinki,立憲民主党,12,0.0047,0
kinki,shoha,2,0.0008,0
kinki,shamin,1,0.0004,0
chugoku,ldp,436,0.4624,5
chugoku,chudo,177,0.1877,2
chugoku,ishin,87,0.0923,1
chugoku,dpfp,83,0.088,1
chugoku,jcp,73,0.0774,1
chugoku,sansei,40,0.0424,0
chugoku,reiwa,33,0.035,0
chugoku,自由民主党,7,0.0074,0
chugoku,共産党,5,0.0053,0
chugoku,立憲民主党,2,0.0021,0
shikoku,ldp,272,0.4814,4
shikoku,dpfp,80,0.1416,1
shikoku,chudo,69,0.1221,1
shikoku,ishin,58,0.1027,0
shikoku,jcp,32,0.0566,0
shikoku,sansei,24,0.0425,0
shikoku,reiwa,17,0.0301,0
shikoku,自由民主党,9,0.0159,0
shikoku,立憲民主党,2,0.0035,0
shikoku,共産党,2,0.0035,0
kyushu,ldp,846,0.4434,10
kyushu,chudo,259,0.1357,3
kyushu,ishin,224,0.1174,2
kyushu,dpfp,191,0.1001,2
kyushu,reiwa,125,0.0655,1
kyushu,jcp,106,0.0556,1
kyushu,sansei,90,0.0472,1
kyushu,genzei,17,0.0089,0
kyushu,shamin,14,0.0073,0
kyushu,立憲民主党,12,0.0063,0
kyushu,共産党,11,0.0058,0
kyushu,自由民主党,10,0.0052,0
kyushu,hoshuto,2,0.001,0
kyushu,komei,1,0.0005,0
