block,party,vote_count,vote_share,seats_won
hokkaido,chudo,205,0.4325,4
hokkaido,ldp,176,0.3713,4
hokkaido,jcp,21,0.0443,0
hokkaido,dpfp,16,0.0338,0
hokkaido,sansei,16,0.0338,0
hokkaido,ishin,12,0.0253,0
hokkaido,れいわ,11,0.0232,0
hokkaido,共産党,6,0.0127,0
hokkaido,その他,5,0.0105,0
hokkaido,維新,3,0.0063,0
hokkaido,立憲民主党,1,0.0021,0
hokkaido,参政,1,0.0021,0
hokkaido,国民,1,0.0021,0
tohoku,ldp,480,0.4979,7
tohoku,chudo,251,0.2604,4
tohoku,dpfp,84,0.0871,1
tohoku,ishin,36,0.0373,0
tohoku,sansei,35,0.0363,0
tohoku,jcp,25,0.0259,0
tohoku,共産党,16,0.0166,0
tohoku,reiwa,14,0.0145,0
tohoku,その他,11,0.0114,0
tohoku,れいわ,6,0.0062,0
tohoku,立憲民主党,5,0.0052,0
tohoku,参政,1,0.001,0
kitakanto,ldp,911,0.5,12
kitakanto,chudo,375,0.2058,5
kitakanto,dpfp,148,0.0812,1
kitakanto,ishin,113,0.062,1
kitakanto,jcp,58,0.0318,0
kitakanto,sansei,56,0.0307,0
kitakanto,れいわ,32,0.0176,0
kitakanto,共産党,26,0.0143,0
kitakanto,その他,26,0.0143,0
kitakanto,reiwa,24,0.0132,0
kitakanto,立憲民主党,12,0.0066,0
kitakanto,維新,10,0.0055,0
kitakanto,無投票,8,0.0044,0
kitakanto,independent,7,0.0038,0
kitakanto,自民黨,7,0.0038,0
kitakanto,shoha,4,0.0022,0
kitakanto,hoshuto,3,0.0016,0
kitakanto,民主フォーラム,2,0.0011,0
minamikanto,ldp,787,0.4315,12
minamikanto,chudo,578,0.3169,8
minamikanto,ishin,124,0.068,1
minamikanto,dpfp,83,0.0455,1
minamikanto,jcp,76,0.0417,1
minamikanto,sansei,60,0.0329,0
minamikanto,reiwa,28,0.0154,0
minamikanto,れいわ,19,0.0104,0
minamikanto,共産党,17,0.0093,0
minamikanto,shamin,11,0.006,0
minamikanto,維新,10,0.0055,0
minamikanto,その他,10,0.0055,0
minamikanto,genzei,9,0.0049,0
minamikanto,支持なし,4,0.0022,0
minamikanto,立憲民主党,3,0.0016,0
